input,Sij,split,test_points,deg,ridge,n_cycles,gate,Z0,baseline_test_MSE,ufrf_test_MSE,improvement_percent,train_gain_used,used_ufrf,tau_est,phi0_est
RDEC71E475K2P1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.426143261183422,2.426143261183422,0.0,0.00340865708573,False,8.661303509893077e-09,0.17412746030220203
RHEL81E106K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.029246668709446,2.029246668709446,0.0,0.0014009113327460002,False,6.243025985114931e-09,0.12502360801551102
RDEC71E106K2K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.060927186230607,2.060927186230607,0.0,0.001357353917284,False,6.343433017942863e-09,0.12702411944205902
RCEC71H475K2K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.427143205612469,2.427143205612469,0.0,0.003596276997873,False,8.733407333347717e-09,0.17547552141824102
RDEC72A475K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.42258822244193,2.42258822244193,0.0,0.0035146463043580004,False,8.706147211475926e-09,0.17494916701190102
RCER71H475K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.424132001052954,2.424132001052954,0.0,0.003286048221757,False,8.624400175041233e-09,0.173282808454227
RCEC71H106K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.046306330183697,2.046306330183697,0.0,0.0013786783727610002,False,6.293267875804001e-09,0.126043467117451
RDEC71E226K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.369909973860801,1.369909973860801,0.0,0.002426027485477,False,4.568042313869141e-09,0.09114975364017301
RCER71H335K3DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.346399753781717,2.346399753781717,0.0,0.006655144039841,False,9.677931750561791e-09,0.19479869629090701
RCEC72A475K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4225912564339303,2.4225912564339303,0.0,0.0035059970021850003,False,8.703183669506457e-09,0.17488888325596103
RCER71E106K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.02924717305956,2.02924717305956,0.0,0.0014009105808710002,False,6.243027571431579e-09,0.125023640050677
RDEC72A475K3S1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.42296539515988,2.42296539515988,0.0,0.0035149278510980004,False,8.702290120636398e-09,0.17495199866682
RDEC71E226K3S1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.367459540476204,1.367459540476204,0.0,0.002425995433253,False,4.564203481101902e-09,0.09115293462290201
RDEC71H106K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.073076194883731,2.073076194883731,0.0,0.001342583723539,False,6.382123844378316e-09,0.127835579933163
RDEC71H106K3P1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.072020069357335,2.072020069357335,0.0,0.001342553509786,False,6.378291352487574e-09,0.127838894114952
RDEC71E475K2K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.425661468180203,2.425661468180203,0.0,0.0034083267419520004,False,8.667130850776233e-09,0.174124046441543
RCER71H335K3A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.346399753781717,2.346399753781717,0.0,0.006655144039841,False,9.677931750561791e-09,0.19479869629090701
RHEL81E106K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.029246668709446,2.029246668709446,0.0,0.0014009113327460002,False,6.243025985114931e-09,0.12502360801551102
RDEC71E106K2P1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.059214572169315,2.059214572169315,0.0,0.0013573158946890002,False,6.3376352805997185e-09,0.127028113240093
RCEC71H475K2M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.427143205612469,2.427143205612469,0.0,0.003596276997873,False,8.733407333347717e-09,0.17547552141824102
RDEC71E106K2M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.060927186230607,2.060927186230607,0.0,0.001357353917284,False,6.343433017942863e-09,0.12702411944205902
RDEC71H475K2S1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.428116824359011,2.428116824359011,0.0,0.0033955489646370005,False,8.667499403533072e-09,0.174257785773847
RCER71E475K2M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.426909139571592,2.426909139571592,0.0,0.003382923444309,False,8.672559941181013e-09,0.17423679402071102
RHEL81H475K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.424132001052954,2.424132001052954,0.0,0.003286048221757,False,8.624400175041233e-09,0.173282808454227
RDEC71E475K2S1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.426143261183422,2.426143261183422,0.0,0.00340865708573,False,8.661303509893077e-09,0.17412746030220203
RDEC71H475K2K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.427628187811441,2.427628187811441,0.0,0.0033952197172160002,False,8.673326742632769e-09,0.17425437374371103
RCEC72A475K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4225912564339303,2.4225912564339303,0.0,0.0035059970021850003,False,8.703183669506457e-09,0.17488888325596103
RCER71E106K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.02924717305956,2.02924717305956,0.0,0.0014009105808710002,False,6.243027571431579e-09,0.125023640050677
RHEL81H335K3A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.362346935685562,2.362346935685562,0.0,0.006343411169392001,False,9.566207379651108e-09,0.192554246552848
RDEC71H106K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.073076194883731,2.073076194883731,0.0,0.001342583723539,False,6.382123844378316e-09,0.127835579933163
RDEC72A475K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.42258822244193,2.42258822244193,0.0,0.0035146463043580004,False,8.706147211475926e-09,0.17494916701190102
RDEC72A475K3P1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.42296539515988,2.42296539515988,0.0,0.0035149278510980004,False,8.702290120636398e-09,0.17495199866682
RCER71H475K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.424132001052954,2.424132001052954,0.0,0.003286048221757,False,8.624400175041233e-09,0.173282808454227
RDEC71H106K3S1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.072020069357335,2.072020069357335,0.0,0.001342553509786,False,6.378291352487574e-09,0.127838894114952
RDEC71E226K3P1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.367459540476204,1.367459540476204,0.0,0.002425995433253,False,4.564203481101902e-09,0.09115293462290201
RCEC71H106K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.046306330183697,2.046306330183697,0.0,0.0013786783727610002,False,6.293267875804001e-09,0.126043467117451
RDEC71E226K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.369909973860801,1.369909973860801,0.0,0.002426027485477,False,4.568042313869141e-09,0.09114975364017301
RCER71E475K2A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.427713731698867,2.427713731698867,0.0,0.00338339800493,False,8.660809107900588e-09,0.17424170978189102
RCER71H475K3DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4248001037360982,2.4248001037360982,0.0,0.003286486263808,False,8.614635399362476e-09,0.17328745603605603
RCER71H106MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.105932120371249,2.105932120371249,0.0,0.0012954242773650002,False,6.496248147419632e-09,0.130224734553318
RDER71H335K3K1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.349310711236201,2.349310711236201,0.0,0.006575498254319001,False,9.655619893483382e-09,0.19412046244807502
RCEC71H226MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.1284470030827851,1.1284470030827851,0.0,0.0028499289029140003,False,4.0021420064611555e-09,0.079244549536333
RDEC72A475MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4230154565072652,2.4230154565072652,0.0,0.0040770591869730005,False,8.895945755543016e-09,0.17884978056393003
