step,time,energy,enstrophy,div_rms,epsilon,dE_dt,P_in,residual
1550,1.55,2.6170039453837433e-11,2.8705862674954326e-09,2.1911800454788447e-10,2.626044885923343e-16,-4.3718812683582577e-10,-4.3718786423133716e-10,0.0
1600,1.6,2.5746426592441143e-11,2.7823942847003996e-09,2.1392122779993125e-10,2.545414724746268e-16,-4.236128613962903e-10,-4.236126068548178e-10,0.0
1650,1.6500000000000001,2.5335664662920154e-11,2.6988420957895944e-09,2.089888505840772e-10,2.4690236585890115e-16,-4.107619295209892e-10,-4.1076168261862337e-10,0.0
1700,1.7,2.4937085951962373e-11,2.6195728590999255e-09,2.0430106493108344e-10,2.396545910593846e-16,-3.985787109577813e-10,-3.985784713031902e-10,0.0
1750,1.75,2.4550073396603272e-11,2.5442667437113083e-09,1.9984003902062077e-10,2.327689465939254e-16,-3.8701255535910025e-10,-3.8701232259015364e-10,0.0
1800,1.8,2.4174055407686076e-11,2.4726360822506916e-09,1.9558967524351873e-10,2.2621916533038413e-16,-3.7601798891719654e-10,-3.760177626980312e-10,0.0
1850,1.85,2.3808501362195918e-11,2.4044212748280865e-09,1.9153540341306213e-10,2.1998154106060583e-16,-3.655540454901581e-10,-3.6555382550861705e-10,0.0
1900,1.9000000000000001,2.3452917662014514e-11,2.3393873126506328e-09,1.8766400287810733e-10,2.1403461153355628e-16,-3.555837001814039e-10,-3.5558348614679234e-10,0.0
1950,1.95,2.3106844274384846e-11,2.2773208151857188e-09,1.8396344868187065e-10,2.0835888828361705e-16,-3.4607338762966813e-10,-3.4607317927077983e-10,0.0
2000,2.0,2.2769851683735708e-11,2.218027494761794e-09,1.8042277792771268e-10,2.029366254118061e-16,-3.36992590649138e-10,-3.369923877125126e-10,0.0
