composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_3_1_mirror__5_2_mirror,K_3_1_mirror,K_5_2_mirror,29,69,73,-25,-0.8299635983974343,25
C_5_2_mirror__3_1_mirror,K_5_2_mirror,K_3_1_mirror,69,29,73,-25,-0.8299635983974343,25
C_3_1_mirror__4_1_mirror,K_3_1_mirror,K_4_1_mirror,29,65,84,-10,0.1677005618065333,10
C_4_1_mirror__3_1_mirror,K_4_1_mirror,K_3_1_mirror,65,29,84,-10,0.1677005618065333,10
C_3_1_mirror__6_2,K_3_1_mirror,K_6_2,29,102,119,-12,0.021976860931930253,12
C_6_2__3_1_mirror,K_6_2,K_3_1_mirror,102,29,119,-12,0.021976860931930253,12
C_6_2__5_1,K_6_2,K_5_1,102,52,130,-24,-0.18120558620685562,24
C_5_1__6_2,K_5_1,K_6_2,52,102,130,-24,-0.18120558620685562,24
C_5_2__6_2,K_5_2,K_6_2,69,102,143,-28,-0.11287768666910997,28
C_6_2__5_2,K_6_2,K_5_2,102,69,143,-28,-0.11287768666910997,28
