file,Sij,baseline_test_MSE,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
0603CT_10N.s2p,S21,0.0091615047990141,0.0091353837258593,0.2851177151331602,passive,0.001,8.5,unknown
0603CT_11N.s2p,S21,0.0096962699467603,0.0097175905800383,-0.2198848979565307,passive,0.001,8.3,unknown
0603CT_12N.s2p,S21,0.0095926311590033,0.0095985881545812,-0.0620997042330268,passive,0.001,8.0,unknown
0603CT_15N.s2p,S21,0.0109249762959977,0.0109583563291316,-0.3055387236498691,passive,0.001,7.5,unknown
0603CT_16N.s2p,S21,0.0107328405834092,0.0108254119958925,-0.8625061721908378,passive,0.001,7.3,unknown
0603CT_18N.s2p,S21,0.0107127964652237,0.0108067042858931,-0.8765948365980829,passive,0.001,7.3,unknown
0603CT_1N0.s2p,S21,0.005999405091916,0.0059803602432443,0.3174456196889236,passive,0.001,26.0,unknown
0603CT_1N2.s2p,S21,0.0075542217049684,0.0075297395402131,0.3240858649831624,passive,0.001,26.0,unknown
0603CT_20N.s2p,S21,0.0106368679607591,0.0107326784559372,-0.90073972462155,passive,0.001,7.3,unknown
0603CT_22N.s2p,S21,0.0102305270543325,0.0102955713429889,-0.635786292445368,passive,0.001,6.7,unknown
0603CT_24N.s2p,S21,0.0098721353476319,0.009953901235561,-0.8282492596571484,passive,0.001,6.5,unknown
0603CT_27N.s2p,S21,0.0098534037541588,0.0099375560899272,-0.8540433120161537,passive,0.001,6.5,unknown
0603CT_2N0.s2p,S21,0.0107480500152776,0.0107940576710368,-0.4280558398390383,passive,0.001,18.0,unknown
0603CT_2N2.s2p,S21,0.0130884515155745,0.0132268810899265,-1.0576466909571856,passive,0.001,17.5,unknown
0603CT_2N3.s2p,S21,0.0152845616456133,0.0154277497628553,-0.936815334073146,passive,0.001,17.0,unknown
0603CT_2N5.s2p,S21,0.0152150773079967,0.0153612192340711,-0.9605072857411072,passive,0.001,17.0,unknown
0603CT_30N.s2p,S21,0.0108844211288921,0.010897112262773,-0.1165990706407346,passive,0.001,5.8,unknown
0603CT_33N.s2p,S21,0.0104276685219548,0.0104083005260954,0.1857365893309741,passive,0.001,5.6,unknown
0603CT_36N.s2p,S21,0.010562578789751,0.0105440039414727,0.1758552399750879,passive,0.001,5.6,unknown
0603CT_39N.s2p,S21,0.0104548170475994,0.0104279434116741,0.2570454920722818,passive,0.001,5.5,unknown
0603CT_3N0.s2p,S21,0.0114323921216084,0.0115463153138962,-0.9964947937055524,passive,0.001,17.0,unknown
0603CT_3N3.s2p,S21,0.0113926504501907,0.0113969895107271,-0.0380864887888565,passive,0.001,16.0,unknown
0603CT_3N6.s2p,S21,0.0115554470326096,0.0115559653448417,-0.0044854364405704,passive,0.001,16.0,unknown
0603CT_3N9.s2p,S21,0.0121180595500469,0.0121790392778597,-0.5032136338412719,passive,0.001,14.0,unknown
0603CT_43N.s2p,S21,0.0104987653864283,0.0104727828734111,0.2474816043678107,passive,0.001,5.5,unknown
0603CT_47N.s2p,S21,0.010277114874318,0.0102517165911667,0.247134370510851,passive,0.001,5.4,unknown
0603CT_4N3.s2p,S21,0.0126906565606553,0.0127535792056861,-0.4958186736049414,passive,0.001,14.0,unknown
0603CT_4N7.s2p,S21,0.0132308605714031,0.0132444185230522,-0.1024721829384593,passive,0.001,15.0,unknown
0603CT_51N.s2p,S21,0.0102643146865107,0.0102392195715593,0.2444889475612613,passive,0.001,5.4,unknown
0603CT_56N.s2p,S21,0.0104897379060663,0.0104648101461454,0.2376394924653574,passive,0.001,5.4,unknown
0603CT_5N1.s2p,S21,0.0111091186298639,0.0110955514286209,0.1221267113537095,passive,0.001,16.0,unknown
0603CT_5N6.s2p,S21,0.0112659629099899,0.0113219598651482,-0.4970454421490824,passive,0.001,13.0,unknown
0603CT_6N8.s2p,S21,0.0099030010270585,0.009939337987715,-0.366928778025999,passive,0.001,9.7,unknown
0603CT_7N2.s2p,S21,0.0106665444903764,0.0107065231746128,-0.3748044577373554,passive,0.001,9.7,unknown
0603CT_8N2.s2p,S21,0.009849656336388,0.0098922308087544,-0.4322432266909875,passive,0.001,9.7,unknown
0603CT_9N5.s2p,S21,0.0102268276089437,0.0102375222368837,-0.1045742467641648,passive,0.001,9.0,unknown
