file,Sij,baseline_test_MSE,ufrf_test_MSE,freq_min_GHz,freq_max_GHz,device_type,family,leaderboard,improvement_%
BLE18PS080BH1_series.s2p,S21,0.0004503844433402,0.000451668901609,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,-0.2851915264377247
BLE18PS080SH1_series.s2p,S21,0.0004503844433402,0.000451668901609,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,-0.2851915264377247
BLE18PS080SN1_series.s2p,S21,0.0004503844433402,0.000451668901609,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,-0.2851915264377247
BLE18PS080SZ1_series.s2p,S21,0.0004503844433402,0.000451668901609,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,-0.2851915264377247
BLE32PN260SH1_series.s2p,S21,0.0005045291589505,0.0005039539755775,0.001,3.0,passive,BLE,results/batch_s21_sparameters (1)/leaderboard.csv,0.11400399021465296
NFZ32BW451HZ10_series.s2p,S21,0.0038323482780547,0.0038478691978688,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.4049976329911881
NFZ32BW520HN11_series.s2p,S21,0.0044860591535879,0.0044730637039639,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.2896852042979838
NFZ32BW520HZ11_series.s2p,S21,0.0044860591535879,0.0044730637039639,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.2896852042979838
NFZ32BW621HN10_series.s2p,S21,0.0037291642496818,0.0037451369410004,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.42831825709910415
NFZ32BW621HZ10_series.s2p,S21,0.0037291642496818,0.0037451369410004,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.42831825709910415
NFZ32BW650HN11_series.s2p,S21,0.0050001221885043,0.0050045313780659,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.08818163627555697
NFZ32BW650HZ11_series.s2p,S21,0.0050001221885043,0.0050045313780659,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.08818163627555697
NFZ32BW6R8HN11_series.s2p,S21,0.0068183316492239,0.0068102656818825,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.11829825471041164
NFZ32BW6R8HZ11_series.s2p,S21,0.0068183316492239,0.0068102656818825,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.11829825471041164
NFZ32BW700HN10_series.s2p,S21,0.0053695267778977,0.0053711717357218,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.030635061377694717
NFZ32BW700HZ10_series.s2p,S21,0.0053695267778977,0.0053711717357218,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.030635061377694717
NFZ32BW7R4HN10_series.s2p,S21,0.005934258065891,0.0059247414341152,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.16036767646657016
NFZ32BW7R4HZ10_series.s2p,S21,0.005934258065891,0.0059247414341152,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.16036767646657016
NFZ32BW881HN10_series.s2p,S21,0.0037324382050154,0.003749673032112,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.46175786844752204
NFZ32BW881HZ10_series.s2p,S21,0.0037324382050154,0.003749673032112,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.46175786844752204
NFZ32BW8R4HN11_series.s2p,S21,0.00778251346932,0.0077932500606798,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.13795788985301374
NFZ32BW8R4HZ11_series.s2p,S21,0.00778251346932,0.0077932500606798,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.13795788985301374
NFZ32BW9R0HN10_series.s2p,S21,0.0047228636744474,0.0047128495493667,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.21203502304925212
NFZ32BW9R0HZ10_series.s2p,S21,0.0047228636744474,0.0047128495493667,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.21203502304925212
NFZ32BW9R8HN11_series.s2p,S21,0.0054064797861426,0.0054067203159894,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.0044489178969291925
NFZ32BW9R8HZ11_series.s2p,S21,0.0054064797861426,0.0054067203159894,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.0044489178969291925
NFZ32SW301HN10_series.s2p,S21,0.0078871113173271,0.0078734351304326,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.17339918690453227
NFZ32SW901HN10_series.s2p,S21,0.005934258065891,0.0059247414341152,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.16036767646657016
NFZ5BBW100LN10_series.s2p,S21,0.0178172889219494,0.017930272883295,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.6341254376046748
NFZ5BBW100LZ10_series.s2p,S21,0.0178172889219494,0.017930272883295,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.6341254376046748
NFZ5BBW140LN10_series.s2p,S21,0.0197997646819537,0.0199795522236866,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.9080286792335864
NFZ5BBW140LZ10_series.s2p,S21,0.0197997646819537,0.0199795522236866,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.9080286792335864
NFZ5BBW141LN10_series.s2p,S21,0.0204868902753815,0.0207296910616646,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.1851519826552968
NFZ5BBW141LZ10_series.s2p,S21,0.0204868902753815,0.0207296910616646,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.1851519826552968
NFZ5BBW170LN10_series.s2p,S21,0.0150793983470408,0.0152360383203645,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.038768057708607
NFZ5BBW170LZ10_series.s2p,S21,0.0150793983470408,0.0152360383203645,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.038768057708607
NFZ5BBW220LN10_series.s2p,S21,0.0131525478827782,0.0132948164973392,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.081681023547424
