file,Sij,gated,train_improvement_percent,improvement_percent,device_type,family,freq_min_GHz,freq_max_GHz,leaderboard
RCER71H475K3K1H03B_DC0V_25degC_series.s2p,S21,False,0.4158035670256559,,passive,RCER,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RCER71H475K3M1H03A_DC0V_25degC_series.s2p,S21,False,0.4158035670256559,,passive,RCER,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E106K2K1H03B_DC0V_25degC_series.s2p,S21,False,0.3743014543301696,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E106K2M1H03A_DC0V_25degC_series.s2p,S21,False,0.3743014543301696,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E106K2P1H03B_DC0V_25degC_series.s2p,S21,False,0.374419748489644,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E106K2S1H03A_DC0V_25degC_series.s2p,S21,False,0.374419748489644,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E226K3K1H03B_DC0V_25degC_series.s2p,S21,False,0.2460503906028888,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E226K3M1H03A_DC0V_25degC_series.s2p,S21,False,0.2460503906028888,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E226K3P1H03B_DC0V_25degC_series.s2p,S21,False,0.2461450544139123,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E226K3S1H03A_DC0V_25degC_series.s2p,S21,False,0.2461450544139123,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E475K2K1H03B_DC0V_25degC_series.s2p,S21,False,0.4150996442768794,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E475K2M1H03A_DC0V_25degC_series.s2p,S21,False,0.4150996442768794,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
