composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_3_1_mirror__K_8_14,K_3_1_mirror,K_8_14,42,338,356,-24,-0.4424499196620834,24
C_K_3_1_mirror__K_8_14_mirror,K_3_1_mirror,K_8_14_mirror,42,423,450,-15,0.6001915098799704,15
C_K_3_1_mirror__K_8_15,K_3_1_mirror,K_8_15,42,202,216,-28,-0.5081258909387121,28
C_K_3_1_mirror__K_8_15_mirror,K_3_1_mirror,K_8_15_mirror,42,133,150,-25,-0.49620938386961905,25
C_K_3_1_mirror__K_8_16,K_3_1_mirror,K_8_16,42,155,171,-26,-0.5001755111107292,26
C_K_3_1_mirror__K_8_16_mirror,K_3_1_mirror,K_8_16_mirror,42,119,131,-30,-0.6001112687805973,30
C_K_3_1_mirror__K_8_17,K_3_1_mirror,K_8_17,42,218,252,-8,0.5301429348666825,8
C_K_3_1_mirror__K_8_17_mirror,K_3_1_mirror,K_8_17_mirror,42,174,180,-36,-0.6155295176121918,36
C_K_3_1_mirror__K_8_18,K_3_1_mirror,K_8_18,42,286,304,-24,-0.508889759379941,24
C_K_3_1_mirror__K_8_18_mirror,K_3_1_mirror,K_8_18_mirror,42,415,447,-10,0.6265381780199376,10
C_K_3_1_mirror__K_8_19,K_3_1_mirror,K_8_19,42,245,284,-3,0.6736538653260357,3
C_K_3_1_mirror__K_8_19_mirror,K_3_1_mirror,K_8_19_mirror,42,255,273,-24,-0.5118305624255345,24
C_K_3_1_mirror__K_8_20,K_3_1_mirror,K_8_20,42,218,252,-8,0.5301429348666825,8
C_K_3_1_mirror__K_8_20_mirror,K_3_1_mirror,K_8_20_mirror,42,174,180,-36,-0.6155295176121918,36
C_K_3_1_mirror__K_8_21,K_3_1_mirror,K_8_21,42,218,252,-8,0.5301429348666825,8
C_K_3_1_mirror__K_8_21_mirror,K_3_1_mirror,K_8_21_mirror,42,174,180,-36,-0.6155295176121918,36
C_K_4_1__K_3_1,K_4_1,K_3_1,156,129,168,-117,-0.9397521850767594,117
C_K_4_1__K_3_1_mirror,K_4_1,K_3_1_mirror,156,97,158,-95,-0.9362887268775089,95
C_K_4_1__K_4_1_mirror,K_4_1,K_4_1_mirror,156,115,271,0,0.9909037529105172,0
C_K_4_1__K_5_1,K_4_1,K_5_1,156,70,224,-2,0.9338680334744173,2
C_K_4_1__K_5_1_mirror,K_4_1,K_5_1_mirror,156,69,225,0,0.9884641572398635,0
C_K_4_1__K_5_2,K_4_1,K_5_2,156,109,209,-56,-0.36889737178098153,56
C_K_4_1__K_5_2_mirror,K_4_1,K_5_2_mirror,156,82,233,-5,0.8801520881633063,5
C_K_4_1__K_6_1,K_4_1,K_6_1,156,222,367,-11,0.7021777870127432,11
C_K_4_1__K_6_1_mirror,K_4_1,K_6_1_mirror,156,94,215,-35,0.03348850878175298,35
C_K_4_1__K_6_2,K_4_1,K_6_2,156,258,403,-11,0.7188181272733682,11
C_K_4_1__K_6_2_mirror,K_4_1,K_6_2_mirror,156,213,358,-11,0.6759630160064263,11
C_K_4_1__K_6_3,K_4_1,K_6_3,156,227,372,-11,0.7483972588434099,11
C_K_4_1__K_6_3_mirror,K_4_1,K_6_3_mirror,156,113,265,-4,0.7611556418752681,4
C_K_4_1__K_7_1,K_4_1,K_7_1,156,267,408,-15,0.6310871442923033,15
C_K_4_1__K_7_1_mirror,K_4_1,K_7_1_mirror,156,267,408,-15,0.6310871442923033,15
C_K_4_1__K_7_2,K_4_1,K_7_2,156,123,226,-53,-0.1925907775291539,53
C_K_4_1__K_7_2_mirror,K_4_1,K_7_2_mirror,156,123,226,-53,-0.1925907775291539,53
C_K_4_1__K_7_3,K_4_1,K_7_3,156,248,391,-13,0.6618302910055062,13
C_K_4_1__K_7_3_mirror,K_4_1,K_7_3_mirror,156,248,391,-13,0.6618302910055062,13
C_K_4_1__K_7_4,K_4_1,K_7_4,156,192,338,-10,0.7043600167543879,10
C_K_4_1__K_7_4_mirror,K_4_1,K_7_4_mirror,156,192,338,-10,0.7043600167543879,10
C_K_4_1__K_7_5,K_4_1,K_7_5,156,204,351,-9,0.7576355497966855,9
C_K_4_1__K_7_5_mirror,K_4_1,K_7_5_mirror,156,204,351,-9,0.7576355497966855,9
C_K_4_1__K_7_6,K_4_1,K_7_6,156,244,314,-86,-0.41928794999415236,86
C_K_4_1__K_7_6_mirror,K_4_1,K_7_6_mirror,156,244,314,-86,-0.41928794999415236,86
C_K_4_1__K_7_7,K_4_1,K_7_7,156,263,408,-11,0.7201217943887374,11
C_K_4_1__K_7_7_mirror,K_4_1,K_7_7_mirror,156,263,408,-11,0.7201217943887374,11
C_K_4_1__K_8_1,K_4_1,K_8_1,156,229,372,-13,0.6346002686503385,13
C_K_4_1__K_8_1_mirror,K_4_1,K_8_1_mirror,156,279,354,-81,-0.3481266442681331,81
C_K_4_1__K_8_2,K_4_1,K_8_2,156,83,197,-42,-0.2919676440642932,42
C_K_4_1__K_8_2_mirror,K_4_1,K_8_2_mirror,156,206,292,-70,-0.37794962266484083,70
C_K_4_1__K_8_3,K_4_1,K_8_3,156,487,550,-93,-0.3927518523010736,93
C_K_4_1__K_8_3_mirror,K_4_1,K_8_3_mirror,156,232,380,-8,0.6859740121983959,8
C_K_4_1__K_8_4,K_4_1,K_8_4,156,138,235,-59,-0.055180452863524514,59
C_K_4_1__K_8_4_mirror,K_4_1,K_8_4_mirror,156,468,531,-93,-0.3987609708027381,93
C_K_4_1__K_8_5,K_4_1,K_8_5,156,143,238,-61,-0.2653657373881493,61
C_K_4_1__K_8_5_mirror,K_4_1,K_8_5_mirror,156,186,339,-3,0.8720912499636418,3
C_K_4_1__K_8_6,K_4_1,K_8_6,156,147,240,-63,-0.31932408381598393,63
C_K_4_1__K_8_6_mirror,K_4_1,K_8_6_mirror,156,135,242,-49,-0.23515119637367599,49
C_K_4_1__K_8_7,K_4_1,K_8_7,156,191,282,-65,-0.388737408930666,65
C_K_4_1__K_8_7_mirror,K_4_1,K_8_7_mirror,156,182,273,-65,-0.3534902251316027,65
C_K_4_1__K_8_8,K_4_1,K_8_8,156,149,248,-57,-0.3003273308864406,57
C_K_4_1__K_8_8_mirror,K_4_1,K_8_8_mirror,156,135,235,-56,-0.3906342937135763,56
C_K_4_1__K_8_9,K_4_1,K_8_9,156,134,243,-47,-0.2652687784004147,47
C_K_4_1__K_8_9_mirror,K_4_1,K_8_9_mirror,156,458,521,-93,-0.38362774998922594,93
C_K_4_1__K_8_10,K_4_1,K_8_10,156,199,353,-2,0.8291612310521151,2
C_K_4_1__K_8_10_mirror,K_4_1,K_8_10_mirror,156,159,256,-59,-0.34623539973583406,59
C_K_4_1__K_8_11,K_4_1,K_8_11,156,177,268,-65,-0.3790547681942808,65
C_K_4_1__K_8_11_mirror,K_4_1,K_8_11_mirror,156,182,273,-65,-0.3710540574961936,65
C_K_4_1__K_8_12,K_4_1,K_8_12,156,271,345,-82,-0.402068141453355,82
C_K_4_1__K_8_12_mirror,K_4_1,K_8_12_mirror,156,249,398,-7,0.6874678980482861,7
C_K_4_1__K_8_13,K_4_1,K_8_13,156,347,413,-90,-0.342044096054613,90
C_K_4_1__K_8_13_mirror,K_4_1,K_8_13_mirror,156,251,398,-9,0.6968252961023309,9
C_K_4_1__K_8_14,K_4_1,K_8_14,156,338,404,-90,-0.36492688066925466,90
C_K_4_1__K_8_14_mirror,K_4_1,K_8_14_mirror,156,423,555,-24,0.6310861041755728,24
C_K_4_1__K_8_15,K_4_1,K_8_15,156,202,291,-67,-0.36288000786649927,67
C_K_4_1__K_8_15_mirror,K_4_1,K_8_15_mirror,156,133,241,-48,-0.28991338083594065,48
C_K_4_1__K_8_16,K_4_1,K_8_16,156,155,256,-55,-0.3433415343559814,55
C_K_4_1__K_8_16_mirror,K_4_1,K_8_16_mirror,156,119,216,-59,-0.40717413036295186,59
C_K_4_1__K_8_17,K_4_1,K_8_17,156,218,359,-15,0.7465777734555769,15
C_K_4_1__K_8_17_mirror,K_4_1,K_8_17_mirror,156,174,257,-73,-0.4572585936143977,73
C_K_4_1__K_8_18,K_4_1,K_8_18,156,286,358,-84,-0.414019556985409,84
C_K_4_1__K_8_18_mirror,K_4_1,K_8_18_mirror,156,415,552,-19,0.6562741758100004,19
C_K_4_1__K_8_19,K_4_1,K_8_19,156,245,395,-6,0.715390465459035,6
C_K_4_1__K_8_19_mirror,K_4_1,K_8_19_mirror,156,255,333,-78,-0.4129143934320882,78
C_K_4_1__K_8_20,K_4_1,K_8_20,156,218,359,-15,0.7465777734555769,15
C_K_4_1__K_8_20_mirror,K_4_1,K_8_20_mirror,156,174,257,-73,-0.4572585936143977,73
C_K_4_1__K_8_21,K_4_1,K_8_21,156,218,359,-15,0.7465777734555769,15
C_K_4_1__K_8_21_mirror,K_4_1,K_8_21_mirror,156,174,257,-73,-0.4572585936143977,73
C_K_4_1_mirror__K_3_1,K_4_1_mirror,K_3_1,89,129,206,-12,0.7283315494014013,12
C_K_4_1_mirror__K_3_1_mirror,K_4_1_mirror,K_3_1_mirror,89,97,176,-10,0.7255671563830036,10
C_K_4_1_mirror__K_4_1,K_4_1_mirror,K_4_1,89,259,277,-71,-0.5790764030182,71
C_K_4_1_mirror__K_5_1,K_4_1_mirror,K_5_1,89,70,124,-35,-0.46488230636690525,35
C_K_4_1_mirror__K_5_1_mirror,K_4_1_mirror,K_5_1_mirror,89,69,119,-39,-0.5503998859238652,39
C_K_4_1_mirror__K_5_2,K_4_1_mirror,K_5_2,89,109,195,-3,0.7541717402457222,3
C_K_4_1_mirror__K_5_2_mirror,K_4_1_mirror,K_5_2_mirror,89,82,133,-38,-0.473350011876702,38
C_K_4_1_mirror__K_6_1,K_4_1_mirror,K_6_1,89,222,257,-54,-0.34707046125063806,54
C_K_4_1_mirror__K_6_1_mirror,K_4_1_mirror,K_6_1_mirror,89,94,169,-14,0.4650785366286262,14
C_K_4_1_mirror__K_6_2,K_4_1_mirror,K_6_2,89,258,282,-65,-0.41767318158134786,65
C_K_4_1_mirror__K_6_2_mirror,K_4_1_mirror,K_6_2_mirror,89,213,251,-51,-0.33169643068746646,51
C_K_4_1_mirror__K_6_3,K_4_1_mirror,K_6_3,89,227,252,-64,-0.41829927814797163,64
C_K_4_1_mirror__K_6_3_mirror,K_4_1_mirror,K_6_3_mirror,89,113,161,-41,-0.29117942460491747,41
C_K_4_1_mirror__K_7_1,K_4_1_mirror,K_7_1,89,267,314,-42,-0.24791232260772622,42
C_K_4_1_mirror__K_7_1_mirror,K_4_1_mirror,K_7_1_mirror,89,267,314,-42,-0.24791232260772622,42
C_K_4_1_mirror__K_7_2,K_4_1_mirror,K_7_2,89,123,208,-4,0.7121285725104378,4
