composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_3_1__K_3_1_mirror,K_3_1,K_3_1_mirror,29,57,86,0,0.9949378183294709,0
C_K_3_1__K_4_1,K_3_1,K_4_1,29,184,184,-29,-0.8946798943922019,29
C_K_3_1__K_4_1_mirror,K_3_1,K_4_1_mirror,29,136,136,-29,-0.872074207551391,29
C_K_3_1__K_5_1,K_3_1,K_5_1,29,69,74,-24,-0.8088937078381911,24
C_K_3_1__K_5_1_mirror,K_3_1,K_5_1_mirror,29,71,78,-22,-0.680591675563977,22
C_K_3_1__K_5_2,K_3_1,K_5_2,29,100,124,-5,0.4797149700550042,5
C_K_3_1__K_5_2_mirror,K_3_1,K_5_2_mirror,29,88,88,-29,-0.8925199458270305,29
C_K_3_1__K_6_1,K_3_1,K_6_1,29,188,192,-25,-0.659403786905324,25
C_K_3_1__K_6_1_mirror,K_3_1,K_6_1_mirror,29,110,128,-11,0.43405621769800296,11
C_K_3_1__K_6_2,K_3_1,K_6_2,29,143,165,-7,0.48776254365794053,7
C_K_3_1__K_6_2_mirror,K_3_1,K_6_2_mirror,29,199,224,-4,0.633767290900852,4
C_K_3_1__K_6_3,K_3_1,K_6_3,29,96,114,-11,0.32350772404131306,11
C_K_3_1__K_6_3_mirror,K_3_1,K_6_3_mirror,29,156,180,-5,0.5985279472925631,5
C_K_3_1__K_7_1,K_3_1,K_7_1,29,143,165,-7,0.38998106505093466,7
C_K_3_1__K_7_1_mirror,K_3_1,K_7_1_mirror,29,201,210,-20,-0.6632531813075662,20
C_K_3_1__K_7_2,K_3_1,K_7_2,29,176,199,-6,0.4093326171823615,6
C_K_3_1__K_7_2_mirror,K_3_1,K_7_2_mirror,29,51,76,-4,0.5237229365663817,4
C_K_3_1__K_7_3,K_3_1,K_7_3,29,157,182,-4,0.4115661789800782,4
C_K_3_1__K_7_3_mirror,K_3_1,K_7_3_mirror,29,175,184,-20,-0.6627860634380062,20
C_K_3_1__K_7_4,K_3_1,K_7_4,29,133,150,-12,0.022409168719643425,12
C_K_3_1__K_7_4_mirror,K_3_1,K_7_4_mirror,29,122,143,-8,0.34184426213427777,8
C_K_3_1__K_7_5,K_3_1,K_7_5,29,128,152,-5,0.39942996159942074,5
C_K_3_1__K_7_5_mirror,K_3_1,K_7_5_mirror,29,225,232,-22,-0.6736482960245291,22
C_K_3_1__K_7_6,K_3_1,K_7_6,29,396,415,-10,0.4691115617413269,10
C_K_3_1__K_7_6_mirror,K_3_1,K_7_6_mirror,29,203,231,-1,0.6464321729516386,1
C_K_3_1__K_7_7,K_3_1,K_7_7,29,250,251,-28,-0.6788987245589098,28
C_K_3_1__K_7_7_mirror,K_3_1,K_7_7_mirror,29,154,163,-20,-0.6213984361669608,20
C_K_3_1__K_8_1,K_3_1,K_8_1,29,344,355,-18,-0.4998941042147702,18
C_K_3_1__K_8_1_mirror,K_3_1,K_8_1_mirror,29,167,189,-7,0.45213594595275425,7
