composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_3_1__K_3_1_mirror,K_3_1,K_3_1_mirror,29,42,42,-29,-0.9919713643955519,29
C_K_3_1__K_4_1,K_3_1,K_4_1,29,156,156,-29,-0.932806796408823,29
C_K_3_1__K_4_1_mirror,K_3_1,K_4_1_mirror,29,89,112,-6,0.7360537370145911,6
C_K_3_1__K_5_1,K_3_1,K_5_1,29,51,78,-2,0.6367272685299606,2
C_K_3_1__K_5_1_mirror,K_3_1,K_5_1_mirror,29,51,78,-2,0.6367272685299606,2
C_K_3_1__K_5_2,K_3_1,K_5_2,29,170,195,-4,0.715660053495591,4
C_K_3_1__K_5_2_mirror,K_3_1,K_5_2_mirror,29,170,195,-4,0.715660053495591,4
C_K_3_1__K_6_1,K_3_1,K_6_1,29,226,227,-28,-0.7515074885868809,28
C_K_3_1__K_6_1_mirror,K_3_1,K_6_1_mirror,29,164,187,-6,0.5762005369302003,6
C_K_3_1__K_6_2,K_3_1,K_6_2,29,140,161,-8,0.4434546647126994,8
C_K_3_1__K_6_2_mirror,K_3_1,K_6_2_mirror,29,193,198,-24,-0.7460772927415326,24
C_K_3_1__K_6_3,K_3_1,K_6_3,29,90,109,-10,0.37473550920425536,10
C_K_3_1__K_6_3_mirror,K_3_1,K_6_3_mirror,29,108,115,-22,-0.5960986886552774,22
C_K_3_1__K_7_1,K_3_1,K_7_1,29,142,158,-13,0.025206206532166407,13
C_K_3_1__K_7_1_mirror,K_3_1,K_7_1_mirror,29,142,158,-13,0.025206206532166407,13
C_K_3_1__K_7_2,K_3_1,K_7_2,29,178,203,-4,0.4649862064853094,4
C_K_3_1__K_7_2_mirror,K_3_1,K_7_2_mirror,29,178,203,-4,0.4649862064853094,4
C_K_3_1__K_7_3,K_3_1,K_7_3,29,132,152,-9,0.11742717792738769,9
C_K_3_1__K_7_3_mirror,K_3_1,K_7_3_mirror,29,132,152,-9,0.11742717792738769,9
C_K_3_1__K_7_4,K_3_1,K_7_4,29,235,236,-28,-0.7685205873441288,28
C_K_3_1__K_7_4_mirror,K_3_1,K_7_4_mirror,29,235,236,-28,-0.7685205873441288,28
C_K_3_1__K_7_5,K_3_1,K_7_5,29,241,242,-28,-0.7569266666921514,28
C_K_3_1__K_7_5_mirror,K_3_1,K_7_5_mirror,29,241,242,-28,-0.7569266666921514,28
C_K_3_1__K_7_6,K_3_1,K_7_6,29,351,373,-7,0.49009767688881584,7
C_K_3_1__K_7_6_mirror,K_3_1,K_7_6_mirror,29,351,373,-7,0.49009767688881584,7
C_K_3_1__K_7_7,K_3_1,K_7_7,29,288,289,-28,-0.7255402003733822,28
C_K_3_1__K_7_7_mirror,K_3_1,K_7_7_mirror,29,288,289,-28,-0.7255402003733822,28
C_K_3_1__K_8_1,K_3_1,K_8_1,29,451,462,-18,-0.5763644219159958,18
C_K_3_1__K_8_1_mirror,K_3_1,K_8_1_mirror,29,336,357,-8,0.5086232425591921,8
C_K_3_1__K_8_2,K_3_1,K_8_2,29,142,152,-19,-0.6154333530378665,19
C_K_3_1__K_8_2_mirror,K_3_1,K_8_2_mirror,29,75,100,-4,0.4848019717228197,4
