composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_3_1__K_3_1_mirror,K_3_1,K_3_1_mirror,129,97,226,0,0.9995536326038175,0
C_K_3_1__K_4_1,K_3_1,K_4_1,129,192,204,-117,-0.8846078924033469,117
C_K_3_1__K_4_1_mirror,K_3_1,K_4_1_mirror,129,109,216,-22,0.5011878563593423,22
C_K_3_1__K_5_1,K_3_1,K_5_1,129,76,196,-9,0.49496579018622616,9
C_K_3_1__K_5_1_mirror,K_3_1,K_5_1_mirror,129,49,171,-7,0.5373783741629571,7
C_K_3_1__K_5_2,K_3_1,K_5_2,129,120,241,-8,0.5488958632956875,8
C_K_3_1__K_5_2_mirror,K_3_1,K_5_2_mirror,129,154,270,-13,0.5258554109865464,13
C_K_3_1__K_6_1,K_3_1,K_6_1,129,118,219,-28,0.4229947856300126,28
C_K_3_1__K_6_1_mirror,K_3_1,K_6_1_mirror,129,175,281,-23,0.5424386297688432,23
C_K_3_1__K_6_2,K_3_1,K_6_2,129,143,250,-22,0.5003314639522914,22
C_K_3_1__K_6_2_mirror,K_3_1,K_6_2_mirror,129,210,321,-18,0.6282476207987623,18
C_K_3_1__K_6_3,K_3_1,K_6_3,129,124,228,-25,0.4848204643176844,25
C_K_3_1__K_6_3_mirror,K_3_1,K_6_3_mirror,129,173,282,-20,0.5984814671687265,20
C_K_3_1__K_7_1,K_3_1,K_7_1,129,201,247,-83,-0.6863693201396118,83
C_K_3_1__K_7_1_mirror,K_3_1,K_7_1_mirror,129,139,249,-19,0.3461718982920776,19
C_K_3_1__K_7_2,K_3_1,K_7_2,129,162,203,-88,-0.7386517758344963,88
C_K_3_1__K_7_2_mirror,K_3_1,K_7_2_mirror,129,254,352,-31,0.3517120605483403,31
C_K_3_1__K_7_3,K_3_1,K_7_3,129,188,230,-87,-0.7226137050480258,87
C_K_3_1__K_7_3_mirror,K_3_1,K_7_3_mirror,129,148,261,-16,0.3546071587616161,16
C_K_3_1__K_7_4,K_3_1,K_7_4,129,138,226,-41,-0.01122555736587384,41
C_K_3_1__K_7_4_mirror,K_3_1,K_7_4_mirror,129,138,246,-21,0.3133970826893215,21
C_K_3_1__K_7_5,K_3_1,K_7_5,129,101,154,-76,-0.7295797740040861,76
C_K_3_1__K_7_5_mirror,K_3_1,K_7_5_mirror,129,201,226,-104,-0.7427284652483258,104
C_K_3_1__K_7_6,K_3_1,K_7_6,129,257,376,-10,0.5495784098354153,10
C_K_3_1__K_7_6_mirror,K_3_1,K_7_6_mirror,129,270,385,-14,0.48509344156708567,14
C_K_3_1__K_7_7,K_3_1,K_7_7,129,273,320,-82,-0.6480434299392566,82
C_K_3_1__K_7_7_mirror,K_3_1,K_7_7_mirror,129,171,259,-41,-0.031213421361471108,41
C_K_3_1__K_8_1,K_3_1,K_8_1,129,282,330,-81,-0.6087148414326549,81
C_K_3_1__K_8_1_mirror,K_3_1,K_8_1_mirror,129,245,349,-25,0.4188364477116482,25
C_K_3_1__K_8_2,K_3_1,K_8_2,129,82,198,-13,0.4646658452309495,13
C_K_3_1__K_8_2_mirror,K_3_1,K_8_2_mirror,129,195,316,-8,0.48839444684694977,8
C_K_3_1__K_8_3,K_3_1,K_8_3,129,347,459,-17,0.5090842032915266,17
C_K_3_1__K_8_3_mirror,K_3_1,K_8_3_mirror,129,266,312,-83,-0.6649827954164748,83
C_K_3_1__K_8_4,K_3_1,K_8_4,129,272,317,-84,-0.6715248989603073,84
C_K_3_1__K_8_4_mirror,K_3_1,K_8_4_mirror,129,330,444,-15,0.5032343689537885,15
