file,input,Sij,split,test_points,deg,ridge,n_cycles,gate,Z0,baseline_test_MSE,ufrf_test_MSE,improvement_percent,train_gain_used,used_ufrf,tau_est,phi0_est
LQG15HH10NH02_series.s2p,LQG15HH10NH02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.84906047528209,0.84906047528209,0.0,0.011629574846681156,False,8.261478388706989e-12,-0.24144923509082078
LQG15HH10NJ02_series.s2p,LQG15HH10NJ02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.84906047528209,0.84906047528209,0.0,0.011629574846681156,False,8.261478388706989e-12,-0.24144923509082078
LQG15HH12NG02_series.s2p,LQG15HH12NG02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.7777991083208977,0.7777991083208977,0.0,0.009772159751561637,False,-1.8650837168881045e-11,-0.3300421161408393
LQG15HH12NH02_series.s2p,LQG15HH12NH02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.7777991083208977,0.7777991083208977,0.0,0.009772159751561637,False,-1.8650837168881045e-11,-0.3300421161408393
LQG15HH12NJ02_series.s2p,LQG15HH12NJ02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.7777991083208977,0.7777991083208977,0.0,0.009772159751561637,False,-1.8650837168881045e-11,-0.3300421161408393
LQG15HH15NG02_series.s2p,LQG15HH15NG02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.004864441072337,1.004864441072337,0.0,0.01952288979812491,False,-2.4965700792484355e-11,-0.37422564299054323
LQG15HH15NH02_series.s2p,LQG15HH15NH02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.004864441072337,1.004864441072337,0.0,0.01952288979812491,False,-2.4965700792484355e-11,-0.37422564299054323
LQG15HH15NJ02_series.s2p,LQG15HH15NJ02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.004864441072337,1.004864441072337,0.0,0.01952288979812491,False,-2.4965700792484355e-11,-0.37422564299054323
LQG15HH18NG02_series.s2p,LQG15HH18NG02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.2931306327874084,1.2931306327874084,0.0,0.018720196601428114,False,-2.974316345038901e-11,-0.40758410167291514
LQG15HH18NH02_series.s2p,LQG15HH18NH02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.2931306327874084,1.2931306327874084,0.0,0.018720196601428114,False,-2.974316345038901e-11,-0.40758410167291514
LQG15HH18NJ02_series.s2p,LQG15HH18NJ02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.2931306327874084,1.2931306327874084,0.0,0.018720196601428114,False,-2.974316345038901e-11,-0.40758410167291514
LQG15HH1N0B02_series.s2p,LQG15HH1N0B02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.8008498060281006,0.8008498060281006,0.0,0.005642659378752522,False,1.2602283830379638e-11,0.0017898790092696418
LQG15HH1N0C02_series.s2p,LQG15HH1N0C02_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.8008498060281006,0.8008498060281006,0.0,0.005642659378752522,False,1.2602283830379638e-11,0.0017898790092696418
