file,Sij,baseline_test_MSE,train_improvement_percent,gate_threshold_percent,gated
LQG15HH10NH02_series.s2p,S12,0.08438344394235972,0.5792519852225495,2.0,False
LQG15HH10NJ02_series.s2p,S12,0.08438344394235972,0.5792519852225495,2.0,False
LQG15HH12NG02_series.s2p,S12,0.07995797050050005,0.359831274934613,2.0,False
LQG15HH12NH02_series.s2p,S12,0.07995797050050005,0.359831274934613,2.0,False
LQG15HH12NJ02_series.s2p,S12,0.07995797050050005,0.359831274934613,2.0,False
LQG15HH15NG02_series.s2p,S12,0.0815521474217491,0.058794515808812384,2.0,False
LQG15HH15NH02_series.s2p,S12,0.0815521474217491,0.058794515808812384,2.0,False
LQG15HH15NJ02_series.s2p,S12,0.0815521474217491,0.058794515808812384,2.0,False
LQG15HH18NG02_series.s2p,S12,0.07779768572193335,0.5533767114510212,2.0,False
LQG15HH18NH02_series.s2p,S12,0.07779768572193335,0.5533767114510212,2.0,False
LQG15HH18NJ02_series.s2p,S12,0.07779768572193335,0.5533767114510212,2.0,False
LQG15HH1N0B02_series.s2p,S12,0.0504500338068841,0.8091603885904561,2.0,False
LQG15HH1N0C02_series.s2p,S12,0.0504500338068841,0.8091603885904561,2.0,False
LQG15HH1N0S02_series.s2p,S12,0.0504500338068841,0.8091603885904561,2.0,False
LQG15HH1N1B02_series.s2p,S12,0.05271296870457502,0.17497815214383777,2.0,False
LQG15HH1N1C02_series.s2p,S12,0.05271296870457502,0.17497815214383777,2.0,False
LQG15HH1N1S02_series.s2p,S12,0.05271296870457502,0.17497815214383777,2.0,False
LQG15HH1N2B02_series.s2p,S12,0.04623841009450403,0.6531288699109219,2.0,False
LQG15HH1N2C02_series.s2p,S12,0.04623841009450403,0.6531288699109219,2.0,False
LQG15HH1N2S02_series.s2p,S12,0.04623841009450403,0.6531288699109219,2.0,False
LQG15HH1N3B02_series.s2p,S12,0.03973382709864951,0.814242976326864,2.0,False
LQG15HH1N3C02_series.s2p,S12,0.03973382709864951,0.814242976326864,2.0,False
LQG15HH1N3S02_series.s2p,S12,0.03973382709864951,0.814242976326864,2.0,False
LQP03TN0N6BZ2_series.s2p,S12,1.760562226479454e-05,0.5472429847953652,2.0,False
LQP15MN10NG02_series.s2p,S12,0.041760008854471245,0.31032109661497953,2.0,False
LQP15MN12NG02_series.s2p,S12,0.04190693954674626,0.3209385781776368,2.0,False
LQP15MN15NG02_series.s2p,S12,0.041702621658213666,0.34027581092646836,2.0,False
LQP15MN18NG02_series.s2p,S12,0.04108599477882917,0.3562920107344937,2.0,False
LQP15MN1N0B02_series.s2p,S12,0.00014875368245022324,0.2626213848610013,2.0,False
LQP15MN1N0W02_series.s2p,S12,0.00014875368245022324,0.2626213848610013,2.0,False
LQP15MN1N1B02_series.s2p,S12,0.00027145142282201045,0.24601420466561938,2.0,False
LQP15MN1N1W02_series.s2p,S12,0.00027145142282201045,0.24601420466561938,2.0,False
LQP15MN1N2B02_series.s2p,S12,0.0003505206065969031,0.20986201625426865,2.0,False
LQP15MN1N2W02_series.s2p,S12,0.0003505206065969031,0.20986201625426865,2.0,False
LQP15MN1N3B02_series.s2p,S12,0.0004185637912145653,0.17828531215894552,2.0,False
LQP15MN1N3W02_series.s2p,S12,0.0004185637912145653,0.17828531215894552,2.0,False
LQP15MN1N4W02_series.s2p,S12,0.0004894441689372569,0.14354042591697339,2.0,False
LQP15MN1N5B02_series.s2p,S12,0.000536542393326245,0.11847190636612163,2.0,False
LQP15MN1N5W02_series.s2p,S12,0.000536542393326245,0.11847190636612163,2.0,False
LQP15MN1N6B02_series.s2p,S12,0.0007073863467784049,0.1050926578826278,2.0,False
LQP15MN1N6W02_series.s2p,S12,0.0007073863467784049,0.1050926578826278,2.0,False
LQP15MN1N7W02_series.s2p,S12,0.0011093763926636354,0.10185277414709042,2.0,False
LQP15MN1N8B02_series.s2p,S12,0.0012817200135650322,0.08551310347152906,2.0,False
LQP15MN1N8W02_series.s2p,S12,0.0012817200135650322,0.08551310347152906,2.0,False
LQP15MN1N9W02_series.s2p,S12,0.0015140025093171743,0.07315016067079431,2.0,False
