composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_3_1__K_8_18_mirror,K_3_1,K_8_18_mirror,29,450,461,-18,-0.5779746926942754,18
C_K_3_1__K_8_19,K_3_1,K_8_19,29,303,313,-19,-0.6253151961068091,19
C_K_3_1__K_8_19_mirror,K_3_1,K_8_19_mirror,29,210,236,-3,0.5059702173111189,3
C_K_3_1__K_8_20,K_3_1,K_8_20,29,334,334,-29,-0.729825353129229,29
C_K_3_1__K_8_20_mirror,K_3_1,K_8_20_mirror,29,199,227,-1,0.6028845154527329,1
C_K_3_1__K_8_21,K_3_1,K_8_21,29,334,334,-29,-0.729825353129229,29
C_K_3_1__K_8_21_mirror,K_3_1,K_8_21_mirror,29,199,227,-1,0.6028845154527329,1
C_K_3_1_mirror__K_3_1,K_3_1_mirror,K_3_1,29,29,58,0,1.0000000000000002,0
C_K_3_1_mirror__K_4_1,K_3_1_mirror,K_4_1,29,65,84,-10,0.1677005618065333,10
C_K_3_1_mirror__K_4_1_mirror,K_3_1_mirror,K_4_1_mirror,29,65,84,-10,0.1677005618065333,10
C_K_3_1_mirror__K_5_1,K_3_1_mirror,K_5_1,29,52,58,-23,-0.7481440397677792,23
C_K_3_1_mirror__K_5_1_mirror,K_3_1_mirror,K_5_1_mirror,29,36,60,-5,0.4532491396668014,5
C_K_3_1_mirror__K_5_2,K_3_1_mirror,K_5_2,29,69,73,-25,-0.8299635983974343,25
C_K_3_1_mirror__K_5_2_mirror,K_3_1_mirror,K_5_2_mirror,29,69,73,-25,-0.8299635983974343,25
C_K_3_1_mirror__K_6_1,K_3_1_mirror,K_6_1,29,109,116,-22,-0.6632153085194471,22
C_K_3_1_mirror__K_6_1_mirror,K_3_1_mirror,K_6_1_mirror,29,90,108,-11,0.4449971938755443,11
C_K_3_1_mirror__K_6_2,K_3_1_mirror,K_6_2,29,102,119,-12,0.021976860931930253,12
C_K_3_1_mirror__K_6_2_mirror,K_3_1_mirror,K_6_2_mirror,29,99,117,-11,0.45501575519329013,11
C_K_3_1_mirror__K_6_3,K_3_1_mirror,K_6_3,29,84,102,-11,0.34696035209761994,11
C_K_3_1_mirror__K_6_3_mirror,K_3_1_mirror,K_6_3_mirror,29,84,102,-11,0.34696035209761994,11
C_K_3_1_mirror__K_7_1,K_3_1_mirror,K_7_1,29,159,184,-4,0.46765810926067153,4
C_K_3_1_mirror__K_7_1_mirror,K_3_1_mirror,K_7_1_mirror,29,159,184,-4,0.46765810926067153,4
C_K_3_1_mirror__K_7_2,K_3_1_mirror,K_7_2,29,203,226,-6,0.4651572050741682,6
