file,Sij,baseline_test_MSE,ufrf_test_MSE,improvement_percent,device_type,freq_min_GHz,freq_max_GHz,family
RCEC71H106K3A2H03B_DC0V_25degC_series.s2p,S11,0.9406780333150934,0.927071174239665,1.446494825384165,passive,1e-07,0.1,RCEC
RCEC71H106K3DBH03A_DC0V_25degC_series.s2p,S11,0.9406780333150934,0.927071174239665,1.446494825384165,passive,1e-07,0.1,RCEC
RCEC71H106K3K1H03B_DC0V_25degC_series.s2p,S11,0.940667085304956,0.9270884274384434,1.4435136594697162,passive,1e-07,0.1,RCEC
RCEC71H106K3M1H03A_DC0V_25degC_series.s2p,S11,0.940667085304956,0.9270884274384434,1.4435136594697162,passive,1e-07,0.1,RCEC
RCEC71H226MWK1H03B_DC0V_25degC_series.s2p,S11,0.971959173773877,0.9584428963015524,1.3906219352654787,passive,1e-07,0.1,RCEC
RCEC71H226MWM1H03A_DC0V_25degC_series.s2p,S11,0.971959173773877,0.9584428963015524,1.3906219352654787,passive,1e-07,0.1,RCEC
RCEC71H475K2A2H03B_DC0V_25degC_series.s2p,S11,0.8920067455989603,0.8783993147211946,1.5254851989520184,passive,1e-07,0.1,RCEC
RCEC71H475K2DBH03A_DC0V_25degC_series.s2p,S11,0.8920067455989603,0.8783993147211946,1.5254851989520184,passive,1e-07,0.1,RCEC
RCEC71H475K2K1H03B_DC0V_25degC_series.s2p,S11,0.8920230491255894,0.878449264831268,1.5216853765860885,passive,1e-07,0.1,RCEC
RCEC71H475K2M1H03A_DC0V_25degC_series.s2p,S11,0.8920230491255894,0.878449264831268,1.5216853765860885,passive,1e-07,0.1,RCEC
RCEC72A475K3A3H03B_DC0V_25degC_series.s2p,S11,0.8923592491066411,0.8787541123694692,1.5246255082571591,passive,1e-07,0.1,RCEC
RCEC72A475K3DNH03A_DC0V_25degC_series.s2p,S11,0.8923592491066411,0.8787541123694692,1.5246255082571591,passive,1e-07,0.1,RCEC
RCEC72A475K3K1H03B_DC0V_25degC_series.s2p,S11,0.8923572588102269,0.8787803472091688,1.5214659226462852,passive,1e-07,0.1,RCEC
RCEC72A475K3M1H03A_DC0V_25degC_series.s2p,S11,0.8923572588102269,0.8787803472091688,1.5214659226462852,passive,1e-07,0.1,RCEC
RCEC72A475MWK1H03B_DC0V_25degC_series.s2p,S11,0.8883741587115423,0.8747914948653355,1.5289350453311876,passive,1e-07,0.1,RCEC
RCEC72A475MWM1H03A_DC0V_25degC_series.s2p,S11,0.8883741587115423,0.8747914948653355,1.5289350453311876,passive,1e-07,0.1,RCEC
RCER71E106K3A2H03B_DC0V_25degC_series.s2p,S11,0.9413314541817316,0.9277247692773825,1.4454722450740654,passive,1e-07,0.1,RCER
RCER71E106K3DBH03A_DC0V_25degC_series.s2p,S11,0.9413314541817316,0.9277247692773825,1.4454722450740654,passive,1e-07,0.1,RCER
RCER71E106K3K1H03B_DC0V_25degC_series.s2p,S11,0.941320372771295,0.9277418889088602,1.442493358818849,passive,1e-07,0.1,RCER
