step,time,energy,enstrophy,div_rms
50,0.25,5.260061722051901e-10,9.855850699828093e-08,1.467403227715594e-08
100,0.5,4.842515664923269e-10,7.143996577897789e-08,1.001629402388238e-08
150,0.75,4.5266881858898256e-10,5.614570212900807e-08,7.587311461404552e-09
200,1.0,4.2722444764602003e-10,4.628503317145357e-08,6.128701920653275e-09
250,1.25,4.05900245332375e-10,3.9399259723729905e-08,5.177487820380894e-09
300,1.5,3.875311352076148e-10,3.432771017586075e-08,4.514624730872676e-09
350,1.75,3.7138101995105056e-10,3.0444992873137315e-08,4.023576735934492e-09
400,2.0,3.569551742587591e-10,2.7382463270537882e-08,3.6394663027439116e-09
