step,time,energy,enstrophy,div_rms
50,0.25,5.260024518751434e-10,9.855792954448443e-08,1.467432360776346e-08
100,0.5,4.842446605263287e-10,7.143922098162599e-08,1.0016807174872949e-08
150,0.75,4.5265905082898777e-10,5.614481780910782e-08,7.58800703671323e-09
200,1.0,4.2721209210294434e-10,4.628401926211151e-08,6.129508246186743e-09
250,1.25,4.058855455365166e-10,3.939813273859106e-08,5.178336292392499e-09
300,1.5,3.875143066969965e-10,3.432648972773426e-08,4.5154653526090175e-09
350,1.75,3.7136225178078647e-10,3.044369885173139e-08,4.02437938341045e-09
400,2.0,3.569346311962991e-10,2.7381114193503527e-08,3.6402160655578053e-09
