composite_id,left_id,right_id
C_K_3_1_mirror__K_8_2,K_3_1_mirror,K_8_2
C_K_3_1_mirror__K_8_2_mirror,K_3_1_mirror,K_8_2_mirror
C_K_3_1_mirror__K_8_3,K_3_1_mirror,K_8_3
C_K_3_1_mirror__K_8_3_mirror,K_3_1_mirror,K_8_3_mirror
C_K_3_1_mirror__K_8_4,K_3_1_mirror,K_8_4
C_K_3_1_mirror__K_8_4_mirror,K_3_1_mirror,K_8_4_mirror
C_K_3_1_mirror__K_8_5,K_3_1_mirror,K_8_5
C_K_3_1_mirror__K_8_5_mirror,K_3_1_mirror,K_8_5_mirror
C_K_3_1_mirror__K_8_6,K_3_1_mirror,K_8_6
C_K_3_1_mirror__K_8_6_mirror,K_3_1_mirror,K_8_6_mirror
C_K_3_1_mirror__K_8_7,K_3_1_mirror,K_8_7
C_K_3_1_mirror__K_8_7_mirror,K_3_1_mirror,K_8_7_mirror
C_K_3_1_mirror__K_8_8,K_3_1_mirror,K_8_8
C_K_3_1_mirror__K_8_8_mirror,K_3_1_mirror,K_8_8_mirror
C_K_3_1_mirror__K_8_9,K_3_1_mirror,K_8_9
C_K_3_1_mirror__K_8_9_mirror,K_3_1_mirror,K_8_9_mirror
C_K_3_1_mirror__K_8_10,K_3_1_mirror,K_8_10
C_K_3_1_mirror__K_8_10_mirror,K_3_1_mirror,K_8_10_mirror
C_K_3_1_mirror__K_8_11,K_3_1_mirror,K_8_11
C_K_3_1_mirror__K_8_11_mirror,K_3_1_mirror,K_8_11_mirror
C_K_3_1_mirror__K_8_12,K_3_1_mirror,K_8_12
C_K_3_1_mirror__K_8_12_mirror,K_3_1_mirror,K_8_12_mirror
C_K_3_1_mirror__K_8_13,K_3_1_mirror,K_8_13
C_K_3_1_mirror__K_8_13_mirror,K_3_1_mirror,K_8_13_mirror
C_K_3_1_mirror__K_8_14,K_3_1_mirror,K_8_14
C_K_3_1_mirror__K_8_14_mirror,K_3_1_mirror,K_8_14_mirror
C_K_3_1_mirror__K_8_15,K_3_1_mirror,K_8_15
C_K_3_1_mirror__K_8_15_mirror,K_3_1_mirror,K_8_15_mirror
C_K_3_1_mirror__K_8_16,K_3_1_mirror,K_8_16
C_K_3_1_mirror__K_8_16_mirror,K_3_1_mirror,K_8_16_mirror
C_K_3_1_mirror__K_8_17,K_3_1_mirror,K_8_17
