step,time,energy,enstrophy,div_rms
50,0.25,5.260044931944721e-10,9.855829217393071e-08,1.4674009695794962e-08
100,0.5,4.84248408327089e-10,7.143969257727576e-08,1.0016449262809885e-08
150,0.75,4.5266431335585803e-10,5.6145337775196985e-08,7.58766065968119e-09
200,1.0,4.272187334827723e-10,4.628456758164726e-08,6.129177585826188e-09
250,1.25,4.0589345752369736e-10,3.9398704264425216e-08,5.178008431308985e-09
300,1.5,3.8752339609705516e-10,3.432708484934086e-08,4.515129540390757e-09
350,1.75,3.7137243455852866e-10,3.044431900701845e-08,4.024032100845917e-09
400,2.0,3.5694582982644125e-10,2.738176004571105e-08,3.639859397660872e-09
