step,time,energy,enstrophy,div_rms
50,0.25,3.679231125227318e-09,5.557283700322182e-07,1.8393288198886173e-07
100,0.5,3.4216556816361547e-09,4.778622456166021e-07,1.6559454351970334e-07
150,0.75,3.198617081658388e-09,4.1659992813033626e-07,1.503148249241426e-07
200,1.0,3.0030866592822986e-09,3.6720526236639213e-07,1.3730853123990662e-07
250,1.25,2.8299521790136875e-09,3.2660037417917813e-07,1.26074939902589e-07
300,1.5,2.6753725302739125e-09,2.9269809337361976e-07,1.1626942039542867e-07
350,1.75,2.5363837680415592e-09,2.640308337494284e-07,1.0764073459271724e-07
400,2.0,2.410648096713077e-09,2.3953403536022765e-07,9.999774768555635e-08
